Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A096NAT2	NA	Papio anubis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A0D9RMH0	VDAC1	Chlorocebus sabaeus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	268
A0A1L1UHR1	NA	Homo sapiens	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A225ADF2	MDM12	Talaromyces atroroseus	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs. Specifically modifies U47 in cytoplasmic tRNAs. Catalyzes the synthesis of dihydrouridine in some mRNAs, thereby affecting their translation	Cytoplasm	1835
A0A2I3T948	VDAC1	Pan troglodytes	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	289
A0A2J8VQF0	VDAC1	Pongo abelii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A2K5LPZ4	NA	Cercocebus atys	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	279
A0A2K5QZ09	NA	Cebus imitator	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	292
A0A2K6A092	NA	Mandrillus leucophaeus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	299
A0A2K6AWR4	NA	Macaca nemestrina	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	321
A0A2K6KEJ0	NA	Rhinopithecus bieti	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	299
A0A2K6NQM2	NA	Rhinopithecus roxellana	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A2K6TF57	NA	Saimiri boliviensis boliviensis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A2R9BFZ4	VDAC1	Pan paniscus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	289
A0A2U4AGQ2	VDAC1	Tursiops truncatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A341B2X3	SAMD8	Neophocaena asiaeorientalis asiaeorientalis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Membrane	615
A0A384C623	VDAC1	Ursus maritimus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A3Q1MS21	VDAC1	Bos taurus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	294
A0A3Q7S4D3	VDAC1	Vulpes vulpes	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
